#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
85        	5         	ok              	7.4560000000e-05	3.0000000000e+02	3.9411868524e+15	1.8001177802e+15	4.9584292848e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	5         	ok              	5.8220000000e-05	3.0000000000e+02	3.0774551190e+15	1.4056177195e+15	4.9584110276e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	5         	ok              	4.5470000000e-05	3.0000000000e+02	2.4034911784e+15	1.0977917847e+15	4.9583887798e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	5         	ok              	3.5510000000e-05	3.0000000000e+02	1.8770076556e+15	8.5732540741e+14	4.9583635869e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	5         	ok              	2.7730000000e-05	3.0000000000e+02	1.4657601585e+15	6.6949122916e+14	4.9583370026e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	5         	ok              	2.1660000000e-05	3.0000000000e+02	1.1449043081e+15	5.2294194099e+14	4.9583106763e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	5         	ok              	1.6910000000e-05	3.0000000000e+02	8.9382432642e+14	4.0826169077e+14	4.9582858492e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	5         	ok              	1.3210000000e-05	3.0000000000e+02	6.9824755319e+14	3.1893181165e+14	4.9582634972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	5         	ok              	1.0310000000e-05	3.0000000000e+02	5.4495865432e+14	2.4891650100e+14	4.9582439024e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	5         	ok              	8.0550000000e-06	3.0000000000e+02	4.2576404001e+14	1.9447356116e+14	4.9582272891e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
